MO;DY;HR;SZA;a;Ho
1;1;0;90.0;-9.0000;0.0000
1;1;1;90.0;-9.0000;0.0000
1;1;2;90.0;-9.0000;0.0000
1;1;3;90.0;-9.0000;0.0000
1;1;4;90.0;-9.0000;0.0000
1;1;5;90.0;-9.0000;0.0000
1;1;6;90.0;-9.0000;0.0000
1;1;7;90.0;-9.0000;0.0000
1;1;8;88.49;-2.3710;0.0000
1;1;9;82.82;4.4482;112.7920
1;1;10;78.42;9.7953;241.4729
1;1;11;76.0;13.2994;325.3986
1;1;12;75.8;14.6675;357.9118
1;1;13;77.82;13.7723;336.6576
1;1;14;81.89;10.6982;263.1703
1;1;15;87.6;5.7101;143.0791
1;1;16;90.0;-0.8303;0.0000
1;1;17;90.0;-8.5432;0.0000
1;1;18;90.0;-9.0000;0.0000
1;1;19;90.0;-9.0000;0.0000
1;1;20;90.0;-9.0000;0.0000
1;1;21;90.0;-9.0000;0.0000
1;1;22;90.0;-9.0000;0.0000
1;1;23;90.0;-9.0000;0.0000
1;2;0;90.0;-9.0000;0.0000
1;2;1;90.0;-9.0000;0.0000
1;2;2;90.0;-9.0000;0.0000
1;2;3;90.0;-9.0000;0.0000
1;2;4;90.0;-9.0000;0.0000
1;2;5;90.0;-9.0000;0.0000
1;2;6;90.0;-9.0000;0.0000
1;2;7;90.0;-9.0000;0.0000
1;2;8;88.48;-2.3596;0.0000
1;2;9;82.79;4.4743;113.4179
1;2;10;78.36;9.8390;242.5277
1;2;11;75.93;13.3623;326.9044
1;2;12;75.71;14.7497;359.8655
1;2;13;77.71;13.8717;339.0254
1;2;14;81.77;10.8112;265.8872
1;2;15;87.49;5.8328;146.0354
1;2;16;90.0;-0.7011;0.0000
1;2;17;90.0;-8.4102;0.0000
1;2;18;90.0;-9.0000;0.0000
1;2;19;90.0;-9.0000;0.0000
1;2;20;90.0;-9.0000;0.0000
1;2;21;90.0;-9.0000;0.0000
1;2;22;90.0;-9.0000;0.0000
1;2;23;90.0;-9.0000;0.0000
1;3;0;90.0;-9.0000;0.0000
1;3;1;90.0;-9.0000;0.0000
1;3;2;90.0;-9.0000;0.0000
1;3;3;90.0;-9.0000;0.0000
1;3;4;90.0;-9.0000;0.0000
1;3;5;90.0;-9.0000;0.0000
1;3;6;90.0;-9.0000;0.0000
1;3;7;90.0;-9.0000;0.0000
1;3;8;88.46;-2.3412;0.0000
1;3;9;82.74;4.5076;114.2158
1;3;10;78.3;9.8901;243.7589
1;3;11;75.85;13.4328;328.5864
1;3;12;75.61;14.8394;361.9923
1;3;13;77.6;13.9782;341.5609
1;3;14;81.64;10.9310;268.7644
1;3;15;87.37;5.9619;149.1432
1;3;16;90.0;-0.5661;0.0000
1;3;17;90.0;-8.2717;0.0000
1;3;18;90.0;-9.0000;0.0000
1;3;19;90.0;-9.0000;0.0000
1;3;20;90.0;-9.0000;0.0000
1;3;21;90.0;-9.0000;0.0000
1;3;22;90.0;-9.0000;0.0000
1;3;23;90.0;-9.0000;0.0000
1;4;0;90.0;-9.0000;0.0000
1;4;1;90.0;-9.0000;0.0000
1;4;2;90.0;-9.0000;0.0000
1;4;3;90.0;-9.0000;0.0000
1;4;4;90.0;-9.0000;0.0000
1;4;5;90.0;-9.0000;0.0000
1;4;6;90.0;-9.0000;0.0000
1;4;7;90.0;-9.0000;0.0000
1;4;8;88.44;-2.3159;0.0000
1;4;9;82.69;4.5482;115.1858
1;4;10;78.23;9.9486;245.1663
1;4;11;75.76;13.5109;330.4439
1;4;12;75.5;14.9365;364.2910
1;4;13;77.48;14.0919;344.2625
1;4;14;81.51;11.0575;271.8001
1;4;15;87.25;6.0973;152.4005
1;4;16;90.0;-0.4253;0.6615
1;4;17;90.0;-8.1280;0.0000
1;4;18;90.0;-9.0000;0.0000
1;4;19;90.0;-9.0000;0.0000
1;4;20;90.0;-9.0000;0.0000
1;4;21;90.0;-9.0000;0.0000
1;4;22;90.0;-9.0000;0.0000
1;4;23;90.0;-9.0000;0.0000
1;5;0;90.0;-9.0000;0.0000
1;5;1;90.0;-9.0000;0.0000
1;5;2;90.0;-9.0000;0.0000
1;5;3;90.0;-9.0000;0.0000
1;5;4;90.0;-9.0000;0.0000
1;5;5;90.0;-9.0000;0.0000
1;5;6;90.0;-9.0000;0.0000
1;5;7;90.0;-9.0000;0.0000
1;5;8;88.41;-2.2835;0.0000
1;5;9;82.63;4.5960;116.3281
1;5;10;78.15;10.0146;246.7496
1;5;11;75.66;13.5964;332.4759
1;5;12;75.39;15.0410;366.7603
1;5;13;77.35;14.2128;347.1286
1;5;14;81.37;11.1908;274.9923
1;5;15;87.12;6.2388;155.8052
1;5;16;90.0;-0.2790;3.7694
1;5;17;90.0;-7.9791;0.0000
1;5;18;90.0;-9.0000;0.0000
1;5;19;90.0;-9.0000;0.0000
1;5;20;90.0;-9.0000;0.0000
1;5;21;90.0;-9.0000;0.0000
1;5;22;90.0;-9.0000;0.0000
1;5;23;90.0;-9.0000;0.0000
1;6;0;90.0;-9.0000;0.0000
1;6;1;90.0;-9.0000;0.0000
1;6;2;90.0;-9.0000;0.0000
1;6;3;90.0;-9.0000;0.0000
1;6;4;90.0;-9.0000;0.0000
1;6;5;90.0;-9.0000;0.0000
1;6;6;90.0;-9.0000;0.0000
1;6;7;90.0;-9.0000;0.0000
1;6;8;88.37;-2.2441;0.0000
1;6;9;82.57;4.6511;117.6429
1;6;10;78.07;10.0880;248.5081
1;6;11;75.56;13.6895;334.6817
1;6;12;75.26;15.1529;369.3990
1;6;13;77.22;14.3408;350.1573
1;6;14;81.23;11.3306;278.3390
1;6;15;86.97;6.3864;159.3553
1;6;16;90.0;-0.1271;7.0240
1;6;17;90.0;-7.8252;0.0000
1;6;18;90.0;-9.0000;0.0000
1;6;19;90.0;-9.0000;0.0000
1;6;20;90.0;-9.0000;0.0000
1;6;21;90.0;-9.0000;0.0000
1;6;22;90.0;-9.0000;0.0000
1;6;23;90.0;-9.0000;0.0000
1;7;0;90.0;-9.0000;0.0000
1;7;1;90.0;-9.0000;0.0000
1;7;2;90.0;-9.0000;0.0000
1;7;3;90.0;-9.0000;0.0000
1;7;4;90.0;-9.0000;0.0000
1;7;5;90.0;-9.0000;0.0000
1;7;6;90.0;-9.0000;0.0000
1;7;7;90.0;-9.0000;0.0000
1;7;8;88.33;-2.1976;0.0000
1;7;9;82.5;4.7133;119.1301
1;7;10;77.98;10.1688;250.4414
1;7;11;75.45;13.7899;337.0600
1;7;12;75.14;15.2722;372.2053
1;7;13;77.07;14.4757;353.3469
1;7;14;81.08;11.4770;281.8380
1;7;15;86.82;6.5400;163.0486
1;7;16;90.0;0.0303;10.4247
1;7;17;90.0;-7.6662;0.0000
1;7;18;90.0;-9.0000;0.0000
1;7;19;90.0;-9.0000;0.0000
1;7;20;90.0;-9.0000;0.0000
1;7;21;90.0;-9.0000;0.0000
1;7;22;90.0;-9.0000;0.0000
1;7;23;90.0;-9.0000;0.0000
1;8;0;90.0;-9.0000;0.0000
1;8;1;90.0;-9.0000;0.0000
1;8;2;90.0;-9.0000;0.0000
1;8;3;90.0;-9.0000;0.0000
1;8;4;90.0;-9.0000;0.0000
1;8;5;90.0;-9.0000;0.0000
1;8;6;90.0;-9.0000;0.0000
1;8;7;90.0;-9.0000;0.0000
1;8;8;88.29;-2.1442;0.0000
1;8;9;82.42;4.7829;120.7898
1;8;10;77.88;10.2570;252.5487
1;8;11;75.33;13.8978;339.6096
1;8;12;75.0;15.3987;375.1778
1;8;13;76.92;14.6176;356.6954
1;8;14;80.92;11.6299;285.4872
1;8;15;86.66;6.6994;166.8826
1;8;16;90.0;0.1930;13.9704
1;8;17;90.0;-7.5024;0.0000
1;8;18;90.0;-9.0000;0.0000
1;8;19;90.0;-9.0000;0.0000
1;8;20;90.0;-9.0000;0.0000
1;8;21;90.0;-9.0000;0.0000
1;8;22;90.0;-9.0000;0.0000
1;8;23;90.0;-9.0000;0.0000
1;9;0;90.0;-9.0000;0.0000
1;9;1;90.0;-9.0000;0.0000
1;9;2;90.0;-9.0000;0.0000
1;9;3;90.0;-9.0000;0.0000
1;9;4;90.0;-9.0000;0.0000
1;9;5;90.0;-9.0000;0.0000
1;9;6;90.0;-9.0000;0.0000
1;9;7;90.0;-9.0000;0.0000
1;9;8;88.23;-2.0836;0.0000
1;9;9;82.33;4.8596;122.6218
1;9;10;77.77;10.3525;254.8293
1;9;11;75.2;14.0131;342.3294
1;9;12;74.86;15.5324;378.3148
1;9;13;76.77;14.7664;360.2007
1;9;14;80.76;11.7892;289.2842
1;9;15;86.49;6.8647;170.8551
1;9;16;90.0;0.3610;17.6601
1;9;17;90.0;-7.3339;0.0000
1;9;18;90.0;-9.0000;0.0000
1;9;19;90.0;-9.0000;0.0000
1;9;20;90.0;-9.0000;0.0000
1;9;21;90.0;-9.0000;0.0000
1;9;22;90.0;-9.0000;0.0000
1;9;23;90.0;-9.0000;0.0000
1;10;0;90.0;-9.0000;0.0000
1;10;1;90.0;-9.0000;0.0000
1;10;2;90.0;-9.0000;0.0000
1;10;3;90.0;-9.0000;0.0000
1;10;4;90.0;-9.0000;0.0000
1;10;5;90.0;-9.0000;0.0000
1;10;6;90.0;-9.0000;0.0000
1;10;7;90.0;-9.0000;0.0000
1;10;8;88.18;-2.0160;0.0000
1;10;9;82.24;4.9435;124.6260
1;10;10;77.66;10.4553;257.2822
1;10;11;75.07;14.1356;345.2179
1;10;12;74.71;15.6733;381.6144
1;10;13;76.61;14.9220;363.8607
1;10;14;80.59;11.9547;293.2266
1;10;15;86.32;7.0357;174.9636
1;10;16;90.0;0.5341;21.4921
1;10;17;90.0;-7.1606;0.0000
1;10;18;90.0;-9.0000;0.0000
1;10;19;90.0;-9.0000;0.0000
1;10;20;90.0;-9.0000;0.0000
1;10;21;90.0;-9.0000;0.0000
1;10;22;90.0;-9.0000;0.0000
1;10;23;90.0;-9.0000;0.0000
1;11;0;90.0;-9.0000;0.0000
1;11;1;90.0;-9.0000;0.0000
1;11;2;90.0;-9.0000;0.0000
1;11;3;90.0;-9.0000;0.0000
1;11;4;90.0;-9.0000;0.0000
1;11;5;90.0;-9.0000;0.0000
1;11;6;90.0;-9.0000;0.0000
1;11;7;90.0;-9.0000;0.0000
1;11;8;88.12;-1.9414;0.0000
1;11;9;82.13;5.0346;126.8117
1;11;10;77.54;10.5654;259.9062
1;11;11;74.93;14.2655;348.2737
1;11;12;74.55;15.8213;385.0748
1;11;13;76.44;15.0843;367.6732
1;11;14;80.41;12.1265;297.3120
1;11;15;86.13;7.2124;179.2056
1;11;16;90.0;0.7123;25.4647
1;11;17;90.0;-6.9828;0.0000
1;11;18;90.0;-9.0000;0.0000
1;11;19;90.0;-9.0000;0.0000
1;11;20;90.0;-9.0000;0.0000
1;11;21;90.0;-9.0000;0.0000
1;11;22;90.0;-9.0000;0.0000
1;11;23;90.0;-9.0000;0.0000
1;12;0;90.0;-9.0000;0.0000
1;12;1;90.0;-9.0000;0.0000
1;12;2;90.0;-9.0000;0.0000
1;12;3;90.0;-9.0000;0.0000
1;12;4;90.0;-9.0000;0.0000
1;12;5;90.0;-9.0000;0.0000
1;12;6;90.0;-9.0000;0.0000
1;12;7;90.0;-9.0000;0.0000
1;12;8;88.05;-1.8597;0.0000
1;12;9;82.02;5.1329;129.1590
1;12;10;77.41;10.6828;262.7004
1;12;11;74.78;14.4026;351.4951
1;12;12;74.39;15.9763;388.6940
1;12;13;76.26;15.2533;371.6358
1;12;14;80.23;12.3044;301.5379
1;12;15;85.93;7.3945;183.5784
1;12;16;90.0;0.8954;29.5757
1;12;17;90.0;-6.8005;0.0000
1;12;18;90.0;-9.0000;0.0000
1;12;19;90.0;-9.0000;0.0000
1;12;20;90.0;-9.0000;0.0000
1;12;21;90.0;-9.0000;0.0000
1;12;22;90.0;-9.0000;0.0000
1;12;23;90.0;-9.0000;0.0000
1;13;0;90.0;-9.0000;0.0000
1;13;1;90.0;-9.0000;0.0000
1;13;2;90.0;-9.0000;0.0000
1;13;3;90.0;-9.0000;0.0000
1;13;4;90.0;-9.0000;0.0000
1;13;5;90.0;-9.0000;0.0000
1;13;6;90.0;-9.0000;0.0000
1;13;7;90.0;-9.0000;0.0000
1;13;8;87.97;-1.7710;0.0000
1;13;9;81.91;5.2383;131.6766
1;13;10;77.27;10.8073;265.6636
1;13;11;74.63;14.5468;354.8804
1;13;12;74.22;16.1383;392.4698
1;13;13;76.08;15.4289;375.7461
1;13;14;80.05;12.4883;305.9016
1;13;15;85.72;7.5821;188.0795
1;13;16;90.0;1.0833;33.8226
1;13;17;90.0;-6.6139;0.0000
1;13;18;90.0;-9.0000;0.0000
1;13;19;90.0;-9.0000;0.0000
1;13;20;90.0;-9.0000;0.0000
1;13;21;90.0;-9.0000;0.0000
1;13;22;90.0;-9.0000;0.0000
1;13;23;90.0;-9.0000;0.0000
1;14;0;90.0;-9.0000;0.0000
1;14;1;90.0;-9.0000;0.0000
1;14;2;90.0;-9.0000;0.0000
1;14;3;90.0;-9.0000;0.0000
1;14;4;90.0;-9.0000;0.0000
1;14;5;90.0;-9.0000;0.0000
1;14;6;90.0;-9.0000;0.0000
1;14;7;90.0;-9.0000;0.0000
1;14;8;87.89;-1.6754;0.0000
1;14;9;81.78;5.3508;134.3637
1;14;10;77.13;10.9391;268.7941
1;14;11;74.47;14.6982;358.4278
1;14;12;74.04;16.3072;396.4001
1;14;13;75.9;15.6109;380.0017
1;14;14;79.85;12.6782;310.4006
1;14;15;85.5;7.7750;192.7060
1;14;16;90.0;1.2760;38.2028
1;14;17;90.0;-6.4230;0.0000
1;14;18;90.0;-9.0000;0.0000
1;14;19;90.0;-9.0000;0.0000
1;14;20;90.0;-9.0000;0.0000
1;14;21;90.0;-9.0000;0.0000
1;14;22;90.0;-9.0000;0.0000
1;14;23;90.0;-9.0000;0.0000
1;15;0;90.0;-9.0000;0.0000
1;15;1;90.0;-9.0000;0.0000
1;15;2;90.0;-9.0000;0.0000
1;15;3;90.0;-9.0000;0.0000
